source,ticker,query,query_class,expected_page_family,expected_url,ranking_url,impressions,clicks,ctr,position,ownership_status,status,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_is_correct,route_breakdown
"google","WAB","""shares outstanding - wab"" ""earnings per share - wab""","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/WAB/dividend-history","53","0","0","1.471698113207547","AMBIGUOUS","AMBIGUOUS","0","53","53","0","0","/stocks/WAB/dividend-history","53","no","/stocks/WAB/dividend-history=53"
"google","MSCI","msci dividends","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/MSCI/dividend-history","16","0","0","49.625","AMBIGUOUS","AMBIGUOUS","0","16","16","0","0","/stocks/MSCI/dividend-history","16","no","/stocks/MSCI/dividend-history=16"
"google","MSCI","msci dividend indexes","DIVIDEND","DIVIDEND","/stocks/MSCI/dividend-history","/stocks/MSCI/dividend-history","14","0","0","50.357142857142854","CORRECT","CORRECT","14","0","14","1","0","/stocks/MSCI/dividend-history","14","yes","/stocks/MSCI/dividend-history=14"
"google","CTSH","cognizant ctsh revenue net income 2022 2023 2024 annual growth","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/CTSH/net-income","8","0","0","8","AMBIGUOUS","AMBIGUOUS","0","8","8","0","0","/stocks/CTSH/net-income","8","no","/stocks/CTSH/net-income=8"
"google","WAB","""earnings per share - wab"" ""shares outstanding - wab"" financial statement","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/WAB/dividend-history","7","0","0","1.2857142857142858","AMBIGUOUS","AMBIGUOUS","0","7","7","0","0","/stocks/WAB/dividend-history","7","no","/stocks/WAB/dividend-history=7"
"google","DOW","dow jones pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/DOW/pe-ratio","6","0","0","77.5","AMBIGUOUS","AMBIGUOUS","0","6","6","0","0","/stocks/DOW/pe-ratio","6","no","/stocks/DOW/pe-ratio=6"
"google","WFC","wells fargo dividend","DIVIDEND","DIVIDEND","/stocks/WFC/dividend-history","/stocks/WFC/dividend-history","6","0","0","63.333333333333336","CORRECT","CORRECT","6","0","6","1","0","/stocks/WFC/dividend-history","6","yes","/stocks/WFC/dividend-history=6"
"google","WAB","""earnings per share - wab"" ""shares outstanding - wab"" financial","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/WAB/dividend-history","5","0","0","1.4","AMBIGUOUS","AMBIGUOUS","0","5","5","0","0","/stocks/WAB/dividend-history","5","no","/stocks/WAB/dividend-history=5"
"google","DIS","disney s dividend history","DIVIDEND","DIVIDEND","/stocks/DIS/dividend-history","/stocks/DIS/dividend-history","5","0","0","84.4","CORRECT","CORRECT","5","0","5","1","0","/stocks/DIS/dividend-history","5","yes","/stocks/DIS/dividend-history=5"
"google","DOW","dow jones index pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/DOW/pe-ratio","5","0","0","91.8","AMBIGUOUS","AMBIGUOUS","0","5","5","0","0","/stocks/DOW/pe-ratio","5","no","/stocks/DOW/pe-ratio=5"
"google","DOW","dow pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/DOW/pe-ratio","5","0","0","54","AMBIGUOUS","AMBIGUOUS","0","5","5","0","0","/stocks/DOW/pe-ratio","5","no","/stocks/DOW/pe-ratio=5"
"google","DOW","djia pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/DOW/pe-ratio","4","0","0","56.75","AMBIGUOUS","AMBIGUOUS","0","4","4","0","0","/stocks/DOW/pe-ratio","4","no","/stocks/DOW/pe-ratio=4"
"google","WFC","wells fargo stock dividend","DIVIDEND","DIVIDEND","/stocks/WFC/dividend-history","/stocks/WFC/dividend-history","4","0","0","40.75","CORRECT","CORRECT","4","0","4","1","0","/stocks/WFC/dividend-history","4","yes","/stocks/WFC/dividend-history=4"
"google","WFC","wfc dividend history","DIVIDEND","DIVIDEND","/stocks/WFC/dividend-history","/stocks/WFC/dividend-history","4","0","0","66.75","CORRECT","CORRECT","4","0","4","1","0","/stocks/WFC/dividend-history","4","yes","/stocks/WFC/dividend-history=4"
"google","CELH","celsius p/e ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/CELH/pe-ratio","3","0","0","23.333333333333332","AMBIGUOUS","AMBIGUOUS","0","3","3","0","0","/stocks/CELH/pe-ratio","3","no","/stocks/CELH/pe-ratio=3"
"google","KO","coca cola pe ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/KO/pe-ratio","3","0","0","21","AMBIGUOUS","AMBIGUOUS","0","3","3","0","0","/stocks/KO/pe-ratio","3","no","/stocks/KO/pe-ratio=3"
"google","DELL","dell shares outstanding 2026","SHARES","SHARES","/stocks/DELL/shares-outstanding","/stocks/DELL/shares-outstanding","3","0","0","10","CORRECT","CORRECT","3","0","3","1","0","/stocks/DELL/shares-outstanding","3","yes","/stocks/DELL/shares-outstanding=3"
"google","GM","gm profits by year","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GM/gross-profit","3","0","0","61","AMBIGUOUS","AMBIGUOUS","0","3","3","0","0","/stocks/GM/gross-profit","3","no","/stocks/GM/gross-profit=3"
"google","GOOGL","google p/e ratio","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","3","0","0","39.666666666666664","AMBIGUOUS","AMBIGUOUS","0","3","3","0","0","/stocks/GOOGL/pe-ratio","3","no","/stocks/GOOGL/pe-ratio=3"
"google","JAZZ","jazz pharmaceuticals total debt cash fy2025","DEBT","DEBT","/stocks/JAZZ/total-debt","/stocks/JAZZ/total-debt","3","0","0","13.333333333333334","CORRECT","CORRECT","3","0","3","1","0","/stocks/JAZZ/total-debt","3","yes","/stocks/JAZZ/total-debt=3"
"google","NTNX","nutanix revenue","REVENUE","REVENUE","/stocks/NTNX/revenue","/stocks/NTNX/revenue","3","0","0","44.666666666666664","CORRECT","CORRECT","3","0","3","1","0","/stocks/NTNX/revenue","3","yes","/stocks/NTNX/revenue=3"
"google","RH","rh aero systems revenue","REVENUE","REVENUE","/stocks/RH/revenue","/stocks/RH/revenue","3","0","0","71.33333333333333","CORRECT","CORRECT","3","0","3","1","0","/stocks/RH/revenue","3","yes","/stocks/RH/revenue=3"
"google","WM","waste management debt","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/WM/total-debt","3","0","0","34.666666666666664","AMBIGUOUS","AMBIGUOUS","0","3","3","0","0","/stocks/WM/total-debt","3","no","/stocks/WM/total-debt=3"
"google","WFC","wells fargo dividend history","DIVIDEND","DIVIDEND","/stocks/WFC/dividend-history","/stocks/WFC/dividend-history","3","0","0","61.666666666666664","CORRECT","CORRECT","3","0","3","1","0","/stocks/WFC/dividend-history","3","yes","/stocks/WFC/dividend-history=3"
