page,clicks,impressions,ctr,position
https://www.stockportfolio.pro/compare/AIZ-vs-ICE,0,1,0,94
https://www.stockportfolio.pro/compare/AJG-vs-ALL,0,2,0,3
https://www.stockportfolio.pro/compare/AJG-vs-TFC,0,1,0,81
https://www.stockportfolio.pro/compare/AKTS-vs-NUTX,0,1,0,17
https://www.stockportfolio.pro/compare/ALAB-vs-CIEN,0,2,0,2
https://www.stockportfolio.pro/compare/ALAB-vs-CRWV,0,1,0,6
https://www.stockportfolio.pro/compare/ALAB-vs-TEL,0,1,0,4
https://www.stockportfolio.pro/compare/ALAB-vs-TER,0,13,0,6.153846153846154
https://www.stockportfolio.pro/compare/ALC-vs-WAT,0,1,0,5
https://www.stockportfolio.pro/compare/ALGM-vs-CORZ,0,1,0,9
https://www.stockportfolio.pro/compare/ALGM-vs-MANH,0,1,0,33
https://www.stockportfolio.pro/compare/ALGN-vs-JNJ,0,1,0,40
https://www.stockportfolio.pro/compare/ALIT-vs-IBEX,0,1,0,58
https://www.stockportfolio.pro/compare/ALKS-vs-GKOS,0,3,0,85
https://www.stockportfolio.pro/compare/ALL-vs-MET,0,18,0,11.444444444444445
https://www.stockportfolio.pro/compare/ALLE-vs-CR,0,1,0,41
https://www.stockportfolio.pro/compare/ALLE-vs-GEV,0,1,0,97
https://www.stockportfolio.pro/compare/ALLE-vs-HON,0,1,0,12
https://www.stockportfolio.pro/compare/ALLO-vs-ANL,0,1,0,9
https://www.stockportfolio.pro/compare/ALLY-vs-HUT,0,1,0,11
https://www.stockportfolio.pro/compare/ALMS-vs-GRAL,0,1,0,99
https://www.stockportfolio.pro/compare/ALNY-vs-HUM,0,1,0,2
https://www.stockportfolio.pro/compare/ALNY-vs-IDXX,0,1,0,3
https://www.stockportfolio.pro/compare/ALSN-vs-CAVA,0,1,0,12
https://www.stockportfolio.pro/compare/ALX-vs-BFS,0,1,0,37
https://www.stockportfolio.pro/compare/AMAL-vs-BHRB,0,2,0,42.5
https://www.stockportfolio.pro/compare/AMAT-vs-CSCO,0,1,0,12
https://www.stockportfolio.pro/compare/AMAT-vs-KLAC,0,2,0,10.5
https://www.stockportfolio.pro/compare/AMAT-vs-PLTR,0,1,0,10
https://www.stockportfolio.pro/compare/AMAT-vs-SNDK,0,5,0,7
https://www.stockportfolio.pro/compare/AMBA-vs-VISN,0,1,0,11
https://www.stockportfolio.pro/compare/AMBP-vs-BKE,0,1,0,80
https://www.stockportfolio.pro/compare/AMBP-vs-UAA,0,2,0,28.5
https://www.stockportfolio.pro/compare/AMC-vs-DV,0,2,0,8.5
https://www.stockportfolio.pro/compare/AMC-vs-GENI,0,2,0,20.5
https://www.stockportfolio.pro/compare/AMC-vs-OPRA,0,1,0,4
https://www.stockportfolio.pro/compare/AMC-vs-WB,0,2,0,5
https://www.stockportfolio.pro/compare/AMCR-vs-WS,0,2,0,18
https://www.stockportfolio.pro/compare/AMD-vs-AVGO,0,1,0,41
https://www.stockportfolio.pro/compare/AMD-vs-CRM,0,1,0,5
https://www.stockportfolio.pro/compare/AMD-vs-CSCO,0,2,0,5.5
https://www.stockportfolio.pro/compare/AMD-vs-KLAC,0,2,0,4.5
https://www.stockportfolio.pro/compare/AMD-vs-ORCL,0,1,0,10
https://www.stockportfolio.pro/compare/AME-vs-HII,0,1,0,32
https://www.stockportfolio.pro/compare/AME-vs-TDG,0,1,0,10
https://www.stockportfolio.pro/compare/AMGN-vs-AZN,0,2,0,9
https://www.stockportfolio.pro/compare/AMGN-vs-BIO,0,1,0,93
https://www.stockportfolio.pro/compare/AMKR-vs-LSCC,0,1,0,2
https://www.stockportfolio.pro/compare/AMKR-vs-TTMI,0,3,0,41.333333333333336
https://www.stockportfolio.pro/compare/AMP-vs-ARES,0,1,0,11
https://www.stockportfolio.pro/compare/AMP-vs-ERIE,0,1,0,56
https://www.stockportfolio.pro/compare/AMP-vs-HIG,0,1,0,22
https://www.stockportfolio.pro/compare/AMP-vs-TWO,0,1,0,99
https://www.stockportfolio.pro/compare/AMPX-vs-DAC,0,2,0,28.5
https://www.stockportfolio.pro/compare/AMR-vs-CTVA,0,2,0,19
https://www.stockportfolio.pro/compare/AMRX-vs-HNGE,0,1,0,49
https://www.stockportfolio.pro/compare/AMSC-vs-PRLB,0,1,0,60
https://www.stockportfolio.pro/compare/AMSC-vs-RCAT,0,1,0,94
https://www.stockportfolio.pro/compare/AMT-vs-DLR,0,1,0,12
https://www.stockportfolio.pro/compare/AMT-vs-O,0,2,0,9
https://www.stockportfolio.pro/compare/AMTB-vs-EVT,0,1,0,12
https://www.stockportfolio.pro/compare/AMTB-vs-FSBC,0,2,0,37.5
https://www.stockportfolio.pro/compare/AMZN-vs-GM,0,2,0,7
https://www.stockportfolio.pro/compare/AMZN-vs-HD,0,1,0,4
https://www.stockportfolio.pro/compare/AMZN-vs-TSLA,0,2,0,6.5
https://www.stockportfolio.pro/compare/ANET-vs-APH,0,6,0,7.166666666666667
https://www.stockportfolio.pro/compare/ANET-vs-GLW,0,3,0,5
https://www.stockportfolio.pro/compare/ANET-vs-MRVL,0,8,0,12.125
https://www.stockportfolio.pro/compare/ANET-vs-PANW,0,4,0,8
https://www.stockportfolio.pro/compare/AON-vs-CPAY,0,1,0,7
https://www.stockportfolio.pro/compare/APA-vs-RRC,0,1,0,4
https://www.stockportfolio.pro/compare/APC-vs-RES,0,1,0,23
https://www.stockportfolio.pro/compare/APG-vs-EFX,0,1,0,2
https://www.stockportfolio.pro/compare/APG-vs-LII,0,3,0,68.33333333333333
https://www.stockportfolio.pro/compare/APG-vs-RBC,0,1,0,6
https://www.stockportfolio.pro/compare/APH-vs-MRVL,0,4,0,4.5
https://www.stockportfolio.pro/compare/APH-vs-PANW,0,1,0,10
https://www.stockportfolio.pro/compare/APLD-vs-CACI,0,1,0,63
https://www.stockportfolio.pro/compare/APLD-vs-ZBRA,0,1,0,4
https://www.stockportfolio.pro/compare/APO-vs-CME,0,1,0,7
https://www.stockportfolio.pro/compare/APO-vs-TFC,0,1,0,28
https://www.stockportfolio.pro/compare/APOG-vs-KFRC,0,1,0,30
https://www.stockportfolio.pro/compare/APOG-vs-MATW,0,2,0,5
https://www.stockportfolio.pro/compare/APP-vs-NBIS,0,3,0,3.6666666666666665
https://www.stockportfolio.pro/compare/APP-vs-VZ,0,3,0,87
https://www.stockportfolio.pro/compare/AQN-vs-MDU,0,1,0,2
https://www.stockportfolio.pro/compare/AR-vs-RRC,0,1,0,4
https://www.stockportfolio.pro/compare/ARDT-vs-MPLT,0,1,0,71
https://www.stockportfolio.pro/compare/ARGX-vs-REGN,0,1,0,5
https://www.stockportfolio.pro/compare/ARIS-vs-CGAU,0,1,0,6
https://www.stockportfolio.pro/compare/ARLO-vs-HLMN,0,1,0,48
https://www.stockportfolio.pro/compare/ARM-vs-PLTR,0,1,0,6
https://www.stockportfolio.pro/compare/ARX-vs-FSK,0,1,0,12
https://www.stockportfolio.pro/compare/ARXS-vs-BWXT,0,2,0,5
https://www.stockportfolio.pro/compare/AS-vs-IP,0,2,0,50.5
https://www.stockportfolio.pro/compare/ASPI-vs-GROY,0,3,0,79.33333333333333
https://www.stockportfolio.pro/compare/ATEN-vs-BRZE,0,1,0,34
https://www.stockportfolio.pro/compare/ATEX-vs-YELP,0,1,0,18
https://www.stockportfolio.pro/compare/ATO-vs-XEL,0,2,0,8
